Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200019 Ttc8 ProximalPromoter	0.147	-0.015	0.048	0.106	-0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210781 Zbtb37 ProximalPromoter	-0.078	0.146	-0.158	-0.198	0.018
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.088	0.096	-0.074	-0.055	0.041
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100636 Dnajc2 ProximalPromoter	-0.231	-0.21	0.303	0.346	-0.248
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101386 Azin1 ProximalPromoter	0.017	-0.041	0.138	0.049	-0.137
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102519 Ppox ProximalPromoter	-0.096	-0.399	0.79	0.387	-0.573
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103359 Tmod3 ProximalPromoter	0	-0.26	0.418	0.219	-0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104109 Prkag3 ProximalPromoter	0.092	0.533	-0.233	-0.189	-0.164
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107029 Ubr1 DistalPromoter	-0.016	-0.006	0.036	0.074	-0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105117 Tmem45a DistalPromoter	-0.154	-0.038	-0.145	-0.206	-0.273
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000781 Blank	-0.081	-0.143	0.061	0.199	0.026
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001068 Blank	0.066	0.036	-0.047	-0.053	0.044
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207046 Fbxo16 ProximalPromoter	-0.103	-0.299	0.046	0.212	-0.178
