Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202268 Sema6d ProximalPromoter	0.028	-0.169	-0.117	0.008	-0.052
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202442 Rab17 ProximalPromoter	0.022	0.024	-0.358	-0.168	-0.148
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205230 Car11 ProximalPromoter	0.081	-0.163	-0.177	-0.089	0.132
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204811 Pou3f4 ProximalPromoter	0.239	-0.018	-0.273	-0.164	0.033
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206840 Cript ProximalPromoter	-0.019	-0.043	-0.055	0.036	0.348
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201073  ProximalPromoter	-0.183	-0.204	0.071	0.083	-0.049
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200467 Nfatc4 ProximalPromoter	-0.023	0.075	-0.262	-0.12	0.17
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209484 Trip10 ProximalPromoter	0.099	0.045	-0.163	-0.081	0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207611 Spcs2 ProximalPromoter	0.044	0.037	0.042	0.072	0.049
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207497 Rpl7l1 ProximalPromoter	0.054	-0.042	0.101	0.012	-0.134
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209994 C730027E14Rik ProximalPromoter	0.094	0.387	-0.087	-0.175	0.093
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001745 Blank	-0.018	0.025	0.019	-0.153	-0.02
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100051 Bax ProximalPromoter	-0.112	-0.021	-0.087	-0.034	-0.102
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100801 Aes ProximalPromoter	-0.108	-0.124	-0.011	-0.005	0.02
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101923 5830483C08Rik ProximalPromoter	-0.186	-0.322	-0.105	-0.119	0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102774 Cyp2c37; Cyp2c54 ProximalPromoter	0.201	0.47	0.783	-0.098	0.17
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103524 Tacstd2 ProximalPromoter	0.428	-0.021	0.833	-0.071	-0.064
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104454 Rbmxrt DistalPromoter	0.065	-0.195	0.257	0.009	-0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104820 Rnaseh2a DistalPromoter	0.137	-0.053	-0.269	-0.023	0.102
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107494 H2-Q2 DistalPromoter	0.041	-0.4	-0.049	-0.004	-0.236
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106371 Dhrs1 DistalPromoter	0.257	-0.222	-0.004	0.106	-0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203629 Dtna ProximalPromoter	-0.168	-0.101	0.329	0.319	0.111
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202244 Pnn ProximalPromoter	0.008	-0.259	0.24	0.08	-0.152
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202508 Spata16 ProximalPromoter	-0.173	-0.195	0.164	-0.16	-0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205206 Bex2 ProximalPromoter	0.064	0.162	-0.374	-0.016	0.193
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204787 Pigf ProximalPromoter	0.197	-0.073	-0.373	-0.18	0.254
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206816  ProximalPromoter	-0.036	-0.111	0.223	0.25	0.316
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206986 Snrpb2 ProximalPromoter	0.021	0.154	-0.258	-0.035	-0.113
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200442 Lmo2 ProximalPromoter	-0.001	-0.044	0.032	-0.117	0.079
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209460 Slc17a3 ProximalPromoter	0.117	-0.147	0.053	0.208	-0.125
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207587 Cox6b1 ProximalPromoter	0.13	-0.091	-0.191	-0.176	-0.067
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207563 Ptpmt1 ProximalPromoter	0.049	0.016	-0.224	0.092	-0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209970 Tagap ProximalPromoter	0.13	0.004	0.186	0.098	0.134
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001649 Blank	0.054	-0.054	-0.02	-0.126	-0.023
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100027 App ProximalPromoter	0.14	0.004	0.394	0.124	-0.064
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100777 Fkbp8 ProximalPromoter	0.131	-0.18	0.007	0.04	0.038
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101617 Atp5c1 ProximalPromoter	0.129	0.118	-0.106	0.153	0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102750 Col10a1 ProximalPromoter	0.092	0.114	-0.358	-0.175	0.066
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103500 Stx5a ProximalPromoter	-0.112	0.449	0.225	0.118	0.402
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104430 Por DistalPromoter	0.018	-0.187	0.211	0.26	-0.018
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104886 Fto DistalPromoter	0.088	0.035	-0.09	-0.094	-0.021
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105753 Eif3s4 DistalPromoter	-0.069	-0.173	0.071	0.06	0.021
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106350 Trap1 DistalPromoter	-0.174	-0.221	0.105	0.17	0.069
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203605 Clec4a3 ProximalPromoter	0.127	0.388	-0.104	-0.238	0.021
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202900 Apon ProximalPromoter	0.55	0.441	1.248	0.048	0.511
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202484 Vgll4 ProximalPromoter	0.086	0.248	-0.033	-0.271	0.05
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205182 Birc4 ProximalPromoter	0.059	-0.261	-0.24	-0.14	-0.041
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204762  ProximalPromoter	-0.245	-0.114	-0.242	-0.243	-0.136
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206883 Cdc42ep4 ProximalPromoter	-0.244	0.048	-0.306	-0.184	0.203
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206962 Slc7a9 ProximalPromoter	0.122	-0.193	-0.355	-0.112	0.366
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200418 Dtl ProximalPromoter	-0.172	-0.108	0.039	-0.111	0.538
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209436 Pnpo ProximalPromoter	0.043	-0.397	0.091	0.637	-0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208924 Tnk1 ProximalPromoter	0.275	-0.043	-0.116	0.104	0.31
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207539 Nudt8 ProximalPromoter	0.089	0.061	-0.177	-0.113	0.03
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209945 Evc2 ProximalPromoter	-0.009	0.036	-0.25	-0.079	0.156
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001553 Blank	-0.024	-0.045	-0.034	-0.182	-0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100003 Acadm ProximalPromoter	-0.054	-0.015	-0.065	-0.044	-0.108
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100843  ProximalPromoter	-0.065	0.111	-0.122	-0.065	-0.077
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101593 Gmeb1 ProximalPromoter	0.031	0.103	-0.069	0.069	0.072
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102726 Ctnna1 ProximalPromoter	-0.029	0.03	-0.072	-0.044	-0.027
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103476 Foxo3a ProximalPromoter	-0.227	-0.116	0.324	-0.133	-0.121
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104316 Hes1 DistalPromoter	0.021	0.256	-0.151	-0.12	0.101
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104862 Dmtf1 DistalPromoter	-0.085	0.074	0.09	-0.149	0.017
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107452 Lxn DistalPromoter	-0.2	-0.104	0.094	0.305	-0.267
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106328 0610007P06Rik DistalPromoter	-0.125	0.048	0.099	-0.097	-0.106
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203672 Zfp53 ProximalPromoter	0.179	-0.171	0.131	-0.062	-0.173
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202876 Ptprk ProximalPromoter	0.091	0.287	-0.063	-0.257	0.222
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202460 2310026E23Rik ProximalPromoter	0.08	-0.077	-0.314	-0.241	-0.187
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205158 Avil ProximalPromoter	-0.075	-0.228	-0.89	-0.259	-0.182
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204455 Gfi1b ProximalPromoter	-0.067	0.051	-0.477	-0.159	-0.066
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206858 Arl10 ProximalPromoter	0.004	0.142	-0.371	0.101	0.158
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206937 Fbxo3 ProximalPromoter	0.302	-0.103	0.015	-0.318	-0.085
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200394 Cct7 ProximalPromoter	0.134	0.029	0.099	-0.085	0.218
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209502 Mcoln3 ProximalPromoter	-0.169	0.348	-0.297	-0.122	-0.025
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208899 Chrdl1 ProximalPromoter	0.079	0.092	0.05	-0.079	0.222
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207515 1810036H07Rik ProximalPromoter	-0.053	0.26	-0.238	-0.08	0.03
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209920 Ccrl1 ProximalPromoter	-0.155	0.007	0.041	0.194	0.043
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002413 Stratagene PCR 8	-0.014	0.027	-0.097	-0.182	0.017
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100915 Nudc ProximalPromoter	-0.007	0.227	-0.163	-0.066	0.106
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101665 Usp14 ProximalPromoter	0.098	-0.373	0.287	0.031	-0.046
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102798 Nr2f1 ProximalPromoter	-0.112	0.017	-0.13	-0.142	-0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103638 B230120H23Rik ProximalPromoter	-0.012	0.053	0.036	0.003	-0.047
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106608 Calu DistalPromoter	-0.031	0.073	0.262	0.228	0.061
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107110 Cct6b DistalPromoter	0.063	0.342	-0.341	0.021	-0.067
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105204  DistalPromoter	0.307	0.372	-0.058	0.042	0
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106129 Anp32e DistalPromoter	0.061	0.102	0.036	0.155	0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201802 Zbtb38 ProximalPromoter	0	0.044	-0.12	0.057	0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202176  ProximalPromoter	0.077	0	-0.465	-0.216	0.046
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205638 Mpo ProximalPromoter	-0.087	0.281	-0.196	0.081	0.135
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201435 4930503L19Rik ProximalPromoter	-0.053	0.022	0.059	0.077	-0.025
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204720 Nfkbie ProximalPromoter	0.044	0.095	0.006	-0.068	0.021
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202556 5033428A16Rik ProximalPromoter	-0.014	0.153	-0.192	-0.091	-0.007
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206619 Paxip1 ProximalPromoter	-0.021	0.103	-0.135	-0.001	-0.125
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200765 9930039A11Rik ProximalPromoter	-0.239	0.375	0.017	-0.139	0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209576 Abcg4 ProximalPromoter	0.09	0.102	0.046	0.004	-0.028
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207713 Zcchc18 ProximalPromoter	-0.147	-0.127	0.163	0.17	-0.039
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207200 Gfer ProximalPromoter	-0.034	-0.052	-0.252	0.076	-0.091
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209015 Aldh1a3 ProximalPromoter	-0.025	0.217	0.07	0.097	-0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002389 Stratagene PCR 6	-0.053	0.043	0.06	0.047	0.036
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001854 Cy3 Anchor	null	null	null	null	null
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100891 Mpdz ProximalPromoter	0.003	-0.007	0.094	0.031	-0.069
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101641 Stx6 ProximalPromoter	0.034	-0.201	0.208	-0.032	0.127
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102492 Pik3r2 ProximalPromoter	-0.151	0.029	0.051	-0.112	-0.049
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103614 Niban ProximalPromoter	0.032	0.053	0.059	0.089	0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106586 Atp6v1e1 DistalPromoter	-0.121	0.242	0.077	0.038	-0.191
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107088 Akr1b7 DistalPromoter	0.1	0.31	-0.135	0.073	0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105270 Myg1 DistalPromoter	0.037	0.074	0.358	0.067	-0.007
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106107 Slc29a1 DistalPromoter	-0.006	0.056	0.048	0.118	-0.046
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201777 Nup155 ProximalPromoter	0.146	0.011	0.204	-0.007	0.019
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202152 Spg3a ProximalPromoter	-0.043	0.051	0.049	0.154	-0.053
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201733 Siae ProximalPromoter	0.166	0.178	-0.109	0.054	-0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201411 Mcm4 ProximalPromoter	-0.025	0.107	0.122	0.097	0.035
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204696 Mast2 ProximalPromoter	-0.026	0.018	0.209	0.319	0
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202532 Ttll6 ProximalPromoter	-0.036	-0.199	0.098	0.08	-0.075
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206688 Lgals12 ProximalPromoter	-0.052	0.173	-0.183	0.014	-0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200741 Rab22a ProximalPromoter	-0.086	0.109	0.078	0.104	0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209551 Stab1 ProximalPromoter	0.002	0.173	-0.13	-0.155	0.056
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207689 Fank1 ProximalPromoter	-0.093	-0.031	0.218	0.149	-0.237
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208342 1300017J02Rik ProximalPromoter	-0.036	0.081	0.013	0.133	0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208991 Rnf111 ProximalPromoter	-0.051	0.265	-0.232	-0.123	0.08
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002365 Stratagene PCR 4	-0.053	0.021	0.048	0.079	-0.02
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001758 Cy3 Anchor	null	null	null	null	null
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100867 Ldlr ProximalPromoter	-0.143	-0.106	0.177	0.019	-0.229
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101707 Trpv6 ProximalPromoter	0.038	-0.138	-0.044	0.232	-0.107
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102468 Pax1 ProximalPromoter	-0.119	-0.198	0.219	0.431	0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103590 Kcne1l ProximalPromoter	-0.214	-0.153	0.987	0.191	-0.231
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106564 Adss DistalPromoter	0.014	0.031	0	-0.339	-0.058
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106975 Sparc DistalPromoter	0.014	0.019	0.593	-0.044	-0.035
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105246 Rnase4 DistalPromoter	0.265	0.41	0.537	0.343	0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106085 Cxcl12 DistalPromoter	-0.002	0.044	0.013	0.047	0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201751 Psd4 ProximalPromoter	0.156	-0.017	0.53	0.088	0.133
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202219 Rabl2a ProximalPromoter	-0.2	0.125	0.028	0.365	-0.095
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201708 2810432L12Rik ProximalPromoter	0.032	0.067	-0.085	0.123	0.008
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201387 Epn2 ProximalPromoter	-0.221	-0.07	-0.181	0.081	0.181
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204671 Mep1b ProximalPromoter	-0.043	0.098	0.09	0.192	-0.135
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205425 Gpd1 ProximalPromoter	-0.042	0.372	-0.12	0.16	-0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206663 Aif1 ProximalPromoter	-0.019	0.177	0.197	-0.185	0.056
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200717 2210020M01Rik ProximalPromoter	-0.052	0.059	0.002	0.114	-0.042
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209527 Usp39 ProximalPromoter	-0.116	0.054	0.106	0.04	-0.043
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207755 2700059D21Rik ProximalPromoter	-0.076	0.12	0.104	0.112	-0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208318 Rarres2 ProximalPromoter	0.179	0.081	0.058	-0.2	-0.057
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208966 Mapbpip ProximalPromoter	-0.045	0.199	-0.068	0.007	0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002341 Stratagene PCR 2	-0.173	0.05	0.06	0.05	-0.029
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	-0.131	0.04	0.008	0.075	-0.07
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100561 Tcf7l2 ProximalPromoter	-0.045	0.037	0.069	0.149	-0.057
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101683 Myg1 ProximalPromoter	0.018	0.208	-0.115	-0.134	-0.182
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102444 Naga ProximalPromoter	0.292	-0.072	-0.198	-0.001	-0.229
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103566 Cdon ProximalPromoter	-0.189	0.058	0.121	-0.001	-0.273
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106634 Ephb6 DistalPromoter	-0.075	-0.015	0.058	0.024	-0.007
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106954 Rpl29 DistalPromoter	0.099	-0.101	-0.086	-0.107	0.128
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105222  DistalPromoter	-0.143	-0.213	0.572	0.034	0.025
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106063 Slc39a6 DistalPromoter	0.026	-0.094	-0.202	0.082	-0.037
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001111 Blank	-0.004	0.006	0.061	0.141	0.017
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202194 Bicd1 ProximalPromoter	0.003	0.039	0.07	0.006	-0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201684 Cd160 ProximalPromoter	0.083	0.445	0.093	0.03	-0.037
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201363 Inpp4a ProximalPromoter	-0.02	0.574	-0.032	0.087	-0.019
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204738 Npy2r ProximalPromoter	-0.07	0.015	0.072	0.106	0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205401 Rpl29 ProximalPromoter	-0.105	0.292	-0.222	0.095	0.19
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206637 Fnbp1 ProximalPromoter	-0.026	0.169	0.002	0.046	-0.096
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200693 5330439B14Rik ProximalPromoter	-0.07	0.095	0.386	-0.031	-0.028
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208535 Tm9sf1 ProximalPromoter	-0.178	0.129	0.147	0.015	-0.199
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207731 Ceacam14 ProximalPromoter	-0.062	-0.053	0.013	0.072	-0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208294 Cabyr ProximalPromoter	-0.109	0.101	0.024	0.081	0.025
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208942 Tnfrsf25 ProximalPromoter	-0.058	0.122	-0.009	-0.008	-0.051
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002407 Stratagene PCR 7	-0.097	0	0.035	0.011	-0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	-0.107	0.039	0.072	0.13	0.001
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100537 Soat1 ProximalPromoter	0.045	-0.005	-0.117	-0.254	-0.086
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101659 Ngly1 ProximalPromoter	0.024	0.246	-0.044	-0.15	0.014
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102420 Smad7 ProximalPromoter	-0.008	0.007	-0.032	-0.003	0.031
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103260 Tcap ProximalPromoter	0.218	1.104	0.037	0.004	0.104
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105667 Zfp36l2 DistalPromoter	-0.012	-0.248	0.255	-0.051	0.044
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105699 Rab1 DistalPromoter	-0.045	-0.055	0.061	0.05	-0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105198 Stard10 DistalPromoter	-0.022	0.033	0.013	0.029	-0.091
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106133 Dusp12 DistalPromoter	0.102	0.147	0.065	-0.2	-0.138
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001015 Blank	-0.026	0.01	0.085	0.154	-0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202170 Hsbp1 ProximalPromoter	-0.031	0.068	0.001	-0.034	0.052
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201659 Rad51l1 ProximalPromoter	-0.038	-0.01	-0.143	0.034	-0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204166  ProximalPromoter	-0.013	-0.002	0.073	0.03	-0.022
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204714 Nap1l4 ProximalPromoter	0.048	0.037	0.008	-0.13	0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205377 Khdrbs3 ProximalPromoter	0.11	-0.054	-0.185	-0.109	-0.298
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206613 Pdyn ProximalPromoter	0.039	0.087	0.054	0.079	-0.029
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200759 Hp1bp3 ProximalPromoter	-0.053	-0.08	0.037	0.056	0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208511 4933404G15Rik ProximalPromoter	-0.066	-0.197	0.082	0.03	-0.002
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207707 Luc7l ProximalPromoter	-0.098	0.044	0.011	0.026	-0.014
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208270 Kynu ProximalPromoter	-0.063	0.079	0.059	0.097	0.051
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207376 2310033P09Rik ProximalPromoter	0.139	0.361	-0.155	-0.157	-0.163
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P002383 Stratagene PCR 5	-0.107	0.045	0.012	-0.006	0.034
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	-0.124	0.015	0.021	0.127	0
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100513 Sema3a ProximalPromoter	0.113	-0.042	0.264	0.327	0.144
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101635 Ppp1r1a ProximalPromoter	0.012	-0.037	-0.014	0.121	-0.203
